🌌☘️📺福建电信🍅,#genre#
千禧经典台【SMT】,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
美亚电影台【SMT】,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道【SMT】,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典【SMT】,http://php.jdshipin.com:8880/smt.php?id=Celestial2
凤凰中文【SMT】,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯【SMT】,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港【SMT】,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
八度空间【SMT】,http://php.jdshipin.com:8880/smt.php?id=TV8
Astro AOD【SMT】,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astro AEC【SMT】,http://php.jdshipin.com:8880/smt.php?id=AEC
爱奇艺【SMT】,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astro QJ【SMT】,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astro欢喜台【SMT】,http://php.jdshipin.com:8880/smt.php?id=Huahee
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
美亞電影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_t
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
ViuTVSix,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
八度空间,http://php.jdshipin.com:8880/smt.php?id=TV8
Astro AOD,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com:8880/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com:8880/smt.php?id=Huahee
☘️🍅香港TVB【TVOD】,#genre#
无线新闻【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
無線新聞【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻台【TVOD】,https://live.tvfix.org/live/inews/index.m3u8
无线新闻【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
翡翠台【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct
翡翠台【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
翡翠台【TVOD】,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台1【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠華麗台1【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=huali
翡翠華麗台2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
凤凰中文【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzxMore actions
凤凰资讯2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
TVB Plus【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
翡翠台北美版(TVB J1)【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=j1
CCTV1港澳版【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
广东珠江【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
TVB千禧经典【PLTV】,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB千禧经典【PLTV】,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVBJ1美【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVBJ1美【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbj1
翡翠台版TVBJ1【PLTV】,http://php.jdshipin.com/TVOD/iptv.php?id=j1
凤凰香港【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
无线千禧【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
☘️台湾节点4g新闻,#genre#
🍅☘️judy版YouTube, #genre#
🍅☘️陈湘儒YouTuBe ,#genre#
寰宇新聞,https://m.youtube.com/watch?v=6IquAgfvYmc
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
中天新聞,https://www.youtube.com/watch?v=vr3XyVCR4T0
三立新闻海外直播,https://m.youtube.com/watch?v=hGJkDZDchYI
三立新闻台湾直播,https://m.youtube.com/watch?v=MV9mI0GChwo
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
民視新聞,https://m.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,https://www.youtube.com/watch?v=HOUoeBkzZYk
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
東森新闻,https://m.youtube.com/watch?v=QNAETEbZbH0
東森財經,https://m.youtube.com/watch?v=1I2iq41Akmo
🍅YouTube新闻,#genre#
☘️新马澳門,#genre#
☘️xn-elt51台灣頻道,#genre#
今日新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/nnews-zh/index.m3u8?proxy=true
今日天气4Gtv,http://xn--elt51t.azip.dpdns.org:5008/nnews-wf/index.m3u8?proxy=true
中天新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv009/index.m3u8?proxy=true
东森新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv152/index.m3u8?proxy=true
tvbs新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv072/index.m3u8?proxy=true
寰宇新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn14/index.m3u8?proxy=true
三立新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live089/index.m3u8?proxy=true
三立新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/iNEWS/index.m3u8?proxy=true
非凡新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv010/index.m3u8?proxy=true
闽镜新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv075/index.m3u8?proxy=true
民视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8?proxy=true
中视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv074/index.m3u8?proxy=true
华视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv052/index.m3u8?proxy=true
台视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv051/index.m3u8?proxy=true
民视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv002/index.m3u8?proxy=true
民视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv155/index.m3u8?proxy=true
中视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv040/index.m3u8?proxy=true
华视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv041/index.m3u8?proxy=true
台视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv066/index.m3u8?proxy=true
寰宇闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv156/index.m3u8?proxy=true
tvbs闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv073/index.m3u8?proxy=true
民视台湾4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8?proxy=true
民视第一4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8?proxy=true
民视旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv07/index.m3u8?proxy=true
民视影剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv09/index.m3u8?proxy=true
民视综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv004/index.m3u8?proxy=true
中视菁采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv064/index.m3u8?proxy=true
中视经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv080/index.m3u8?proxy=true
台视财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8?proxy=true
公视戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv042/index.m3u8?proxy=true
闽南戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn22/index.m3u8?proxy=true
国际财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv104/index.m3u8?proxy=true
全球财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live060/index.m3u8?proxy=true
东森财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8?proxy=true
寰宇财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv158/index.m3u8?proxy=true
cnbc财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live130/index.m3u8?proxy=true
tvbs精采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv067/index.m3u8?proxy=true
tvbs欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv068/index.m3u8?proxy=true
tvbs综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live087/index.m3u8?proxy=true
tvbs台剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live088/index.m3u8?proxy=true
八大精彩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv034/index.m3u8?proxy=true
八大综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv039/index.m3u8?proxy=true
三立综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8?proxy=true
爱达娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv070/index.m3u8?proxy=true
靖洋戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv045/index.m3u8?proxy=true
靖洋卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv057/index.m3u8?proxy=true
靖天卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv044/index.m3u8?proxy=true
靖天综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv046/index.m3u8?proxy=true
靖天日本4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv047/index.m3u8?proxy=true
靖天欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv054/index.m3u8?proxy=true
靖天映画4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv055/index.m3u8?proxy=true
靖天戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv058/index.m3u8?proxy=true
靖天电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv061/index.m3u8?proxy=true
靖天育乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv062/index.m3u8?proxy=true
靖天国际4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv063/index.m3u8?proxy=true
靖天资讯4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv065/index.m3u8?proxy=true
龙华卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn01/index.m3u8?proxy=true
龙华日韩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn11/index.m3u8?proxy=true
龙华偶像4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn12/index.m3u8?proxy=true
龙华电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn03/index.m3u8?proxy=true
龙华洋片4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn02/index.m3u8?proxy=true
龙华戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn18/index.m3u8?proxy=true
龙华经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn21/index.m3u8?proxy=true
国会4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv084/index.m3u8?proxy=true
国会4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv085/index.m3u8?proxy=true
好消息壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv16/index.m3u8?proxy=true
好消息贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv17/index.m3u8?proxy=true
大爱壹高4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live007/index.m3u8?proxy=true
大爱贰高4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live106/index.m3u8?proxy=true
人间卫视4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live008/index.m3u8?proxy=true
原住民族4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live014/index.m3u8?proxy=true
唐人亚太4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live050/index.m3u8?proxy=true
智林体育4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv101/index.m3u8?proxy=true
博斯魅力4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn04/index.m3u8?proxy=true
博斯网球4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn09/index.m3u8?proxy=true
博高球壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn05/index.m3u8?proxy=true
博高球贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn06/index.m3u8?proxy=true
博运动壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn07/index.m3u8?proxy=true
博运动贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn08/index.m3u8?proxy=true
博无限壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn10/index.m3u8?proxy=true
博无限贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn13/index.m3u8?proxy=true
阿里郎台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv079/index.m3u8?proxy=true
滚动人生4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live012/index.m3u8?proxy=true
达文西台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv018/index.m3u8?proxy=true
猪哥亮厅4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv006/index.m3u8?proxy=true
亚洲旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv076/index.m3u8?proxy=true
ELta旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live120/index.m3u8?proxy=true
美国之音4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv03/index.m3u8?proxy=true
半岛新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv10/index.m3u8?proxy=true
非凡商业4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv048/index.m3u8?proxy=true
第壹商业4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv109/index.m3u8?proxy=true
影迷纪实4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv15/index.m3u8?proxy=true
经典电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live021/index.m3u8?proxy=true
经典卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live022/index.m3u8?proxy=true
精选动漫4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live024/index.m3u8?proxy=true
戏剧壹台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live010/index.m3u8?proxy=true
古典音乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv059/index.m3u8?proxy=true
客家电视4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv043/index.m3u8?proxy=true
华仁纪实4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv013/index.m3u8?proxy=true
时尚运动4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv014/index.m3u8?proxy=true
空间居家4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live206/index.m3u8?proxy=true
生活英语4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn20/index.m3u8?proxy=true
互动英语4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live030/index.m3u8?proxy=true
采昌影剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv049/index.m3u8?proxy=true
数位电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv011/index.m3u8?proxy=true
欧洲电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live157/index.m3u8?proxy=true
Amc电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv017/index.m3u8?proxy=true
CINEMA-4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live069/index.m3u8?proxy=true
TRA体育4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv077/index.m3u8?proxy=true
车迷体育4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live201/index.m3u8?proxy=true
SMArt台4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn19/index.m3u8?proxy=true
罪案侦查4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live027/index.m3u8?proxy=true
霹雳布袋4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live145/index.m3u8?proxy=true
金光布袋4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live144/index.m3u8?proxy=true
nick动漫4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live032/index.m3u8?proxy=true
nick少儿4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live105/index.m3u8?proxy=true
MO-亲子4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live107/index.m3u8?proxy=true
DreamW4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live017/index.m3u8?proxy=true
LUXE-TV4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live121/index.m3u8?proxy=true
rock娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live080/index.m3u8?proxy=true
rock电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live138/index.m3u8?proxy=true
HItS电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live620/index.m3u8?proxy=true
magellan4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live123/index.m3u8?proxy=true
INULTRa4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live096/index.m3u8?proxy=true
LifeTime4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live029/index.m3u8?proxy=true
电影原声4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live031/index.m3u8?proxy=true
MTVLive4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live025/index.m3u8?proxy=true
PETClUB4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live110/index.m3u8?proxy=true
FUN娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live011/index.m3u8?proxy=true
韩国娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv016/index.m3u8?proxy=true
GLOBAL4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live112/index.m3u8?proxy=true
TV5mon4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live122/index.m3u8?proxy=true
TRACEU4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv082/index.m3u8?proxy=true
BLoomb4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live059/index.m3u8?proxy=true
FRANCE4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live146/index.m3u8?proxy=true
MEZZOl4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv083/index.m3u8?proxy=true
GINX_TV4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv053/index.m3u8?proxy=true
DW-之声4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live071/index.m3u8?proxy=true
历史4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live026/index.m3u8?proxy=true
国家地理4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live208/index.m3u8?proxy=true
东森购壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live047/index.m3u8?proxy=true
东森购壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv102/index.m3u8?proxy=true
东森购壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv102/index.m3u8?proxy=true
东森购贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live046/index.m3u8?proxy=true
东森购贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv103/index.m3u8?proxy=true
东森购贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv103/index.m3u8?proxy=true
东森购叁4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live048/index.m3u8?proxy=true
东森购五4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live049/index.m3u8?proxy=true
中天新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv009/index.m3u8?proxy=true
东森新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv152/index.m3u8?proxy=true
tvbs新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv072/index.m3u8?proxy=true
寰宇新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn14/index.m3u8?proxy=true
寰宇新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-litv-longturn14/index.m3u8?proxy=true
闽镜新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv075/index.m3u8?proxy=true
民视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv13/index.m3u8?proxy=true
中视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv074/index.m3u8?proxy=true
中视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv074/index.m3u8?proxy=true
华视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv052/index.m3u8?proxy=true
华视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv052/index.m3u8?proxy=true
台视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv051/index.m3u8?proxy=true
中视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv040/index.m3u8?proxy=true
中视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv040/index.m3u8?proxy=true
华视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv041/index.m3u8?proxy=true
华视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv041/index.m3u8?proxy=true
台视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv066/index.m3u8?proxy=true
寰宇闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv156/index.m3u8?proxy=true
寰宇闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv156/index.m3u8?proxy=true
tvbs闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv073/index.m3u8?proxy=true
民视台湾4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv001/index.m3u8?proxy=true
民视第一4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv003/index.m3u8?proxy=true
民视旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv07/index.m3u8?proxy=true
民视影剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv09/index.m3u8?proxy=true
民视综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv004/index.m3u8?proxy=true
中视菁采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv064/index.m3u8?proxy=true
中视经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv080/index.m3u8?proxy=true
公视戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv042/index.m3u8?proxy=true
闽南戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn22/index.m3u8?proxy=true
国际财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv104/index.m3u8?proxy=true
东森财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv153/index.m3u8?proxy=true
寰宇财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv158/index.m3u8?proxy=true
寰宇财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv158/index.m3u8?proxy=true
tvbs精采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv067/index.m3u8?proxy=true
tvbs欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv068/index.m3u8?proxy=true
八大精彩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv034/index.m3u8?proxy=true
八大综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv039/index.m3u8?proxy=true
爱达娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv070/index.m3u8?proxy=true
靖洋戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv045/index.m3u8?proxy=true
靖洋卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv057/index.m3u8?proxy=true
靖天卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv044/index.m3u8?proxy=true
靖天综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv046/index.m3u8?proxy=true
靖天日本4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv047/index.m3u8?proxy=true
靖天欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv054/index.m3u8?proxy=true
